ticker,company,fiscal_year,period_end,depreciation_amort_usd,ppe_gross_usd,ppe_net_usd,retrieved
NVDA,NVIDIA,2018,2018-01-28,,1737000000.0,997000000.0,2026-05-29
NVDA,NVIDIA,2019,2019-01-27,,2171000000.0,1404000000.0,2026-05-29
NVDA,NVIDIA,2020,2020-01-26,381000000.0,2685000000.0,1674000000.0,2026-05-29
NVDA,NVIDIA,2021,2021-01-31,1098000000.0,3557000000.0,2149000000.0,2026-05-29
NVDA,NVIDIA,2022,2022-01-30,1174000000.0,4681000000.0,2778000000.0,2026-05-29
NVDA,NVIDIA,2023,2023-01-29,1544000000.0,6501000000.0,3807000000.0,2026-05-29
NVDA,NVIDIA,2024,2024-01-28,1508000000.0,7423000000.0,3914000000.0,2026-05-29
NVDA,NVIDIA,2025,2025-01-26,1864000000.0,10684000000.0,6283000000.0,2026-05-29
NVDA,NVIDIA,2026,2026-01-25,2843000000.0,16970000000.0,10383000000.0,2026-05-29
ORCL,Oracle,2008,2008-05-31,268000000.0,,,2026-05-29
ORCL,Oracle,2009,2009-05-31,263000000.0,,1922000000.0,2026-05-29
ORCL,Oracle,2010,2010-05-31,298000000.0,4648000000.0,2763000000.0,2026-05-29
ORCL,Oracle,2011,2011-05-31,368000000.0,5095000000.0,2857000000.0,2026-05-29
ORCL,Oracle,2012,2012-05-31,486000000.0,5419000000.0,3021000000.0,2026-05-29
ORCL,Oracle,2013,2013-05-31,546000000.0,5756000000.0,3053000000.0,2026-05-29
ORCL,Oracle,2014,2014-05-31,608000000.0,6239000000.0,3061000000.0,2026-05-29
ORCL,Oracle,2015,2015-05-31,712000000.0,7295000000.0,3686000000.0,2026-05-29
ORCL,Oracle,2016,2016-05-31,871000000.0,8096000000.0,4000000000.0,2026-05-29
ORCL,Oracle,2017,2017-05-31,1000000000.0,10294000000.0,5315000000.0,2026-05-29
ORCL,Oracle,2018,2018-05-31,1165000000.0,11808000000.0,5897000000.0,2026-05-29
ORCL,Oracle,2019,2019-05-31,1230000000.0,13075000000.0,6252000000.0,2026-05-29
ORCL,Oracle,2020,2020-05-31,1382000000.0,13825000000.0,6244000000.0,2026-05-29
ORCL,Oracle,2021,2021-05-31,1537000000.0,15800000000.0,7049000000.0,2026-05-29
ORCL,Oracle,2022,2022-05-31,1972000000.0,19674000000.0,9716000000.0,2026-05-29
ORCL,Oracle,2023,2023-05-31,2526000000.0,28674000000.0,17069000000.0,2026-05-29
ORCL,Oracle,2024,2024-05-31,3129000000.0,34818000000.0,21536000000.0,2026-05-29
ORCL,Oracle,2025,2025-05-31,3867000000.0,59554000000.0,43522000000.0,2026-05-29
