series_id,label,title,units,frequency,date,value,retrieved
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1976-01-01,29.424,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1976-04-01,31.613,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1976-07-01,33.657,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1976-10-01,36.169,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1977-01-01,36.828,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1977-04-01,38.577,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1977-07-01,39.636,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1977-10-01,41.618,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1978-01-01,43.694,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1978-04-01,47.777,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1978-07-01,50.365,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1978-10-01,52.91,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1979-01-01,55.541,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1979-04-01,56.712,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1979-07-01,59.354,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1979-10-01,62.327,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1980-01-01,65.402,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1980-04-01,66.742,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1980-07-01,70.672,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1980-10-01,72.268,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1981-01-01,76.521,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1981-04-01,79.462,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1981-07-01,82.922,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1981-10-01,86.951,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1982-01-01,90.226,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1982-04-01,87.53,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1982-07-01,88.361,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1982-10-01,86.916,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1983-01-01,92.111,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1983-04-01,97.372,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1983-07-01,101.304,2026-05-15
A679RC1Q027SBEA,fixed_invest_it_equip_and_software,Private fixed investment in information processing equipment and software,Bil. of $,Q,1983-10-01,109.484,2026-05-15
