series_id,label,title,units,date,value,retrieved
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2004-04-01,967602.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2004-05-01,974381.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2004-06-01,983087.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2004-07-01,1006184.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2004-08-01,1013616.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2004-09-01,1012080.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2004-10-01,1015719.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2004-11-01,1022994.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2004-12-01,1037480.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-01-01,1046082.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-02-01,1066848.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-03-01,1071745.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-04-01,1081012.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-05-01,1093341.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-06-01,1105896.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-07-01,1119101.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-08-01,1129163.0,2026-05-15
TTLCONS,total_construction_spending,Total Construction Spending: Total Construction in the United States,Mil. of $,2005-09-01,1148438.0,2026-05-15
